64,64,1,1,44,4653,cuda,1
64,64,2,2,23,4523,cuda,1
64,64,4,4,19,4519,cuda,1
64,64,8,8,18,4519,cuda,1
64,64,12,12,19,4571,cuda,1
64,64,16,16,20,4545,cuda,1
64,64,20,20,18,4514,cuda,1
64,64,22,22,19,4829,cuda,1
64,64,,,3,5,sequential,1
160,160,1,1,195,4779,cuda,1
160,160,2,2,61,4581,cuda,1
160,160,4,4,28,4556,cuda,1
160,160,8,8,22,4514,cuda,1
160,160,12,12,24,4534,cuda,1
160,160,16,16,22,4511,cuda,1
160,160,20,20,24,4514,cuda,1
160,160,22,22,24,4524,cuda,1
160,160,,,19,22,sequential,1
240,240,1,1,418,4914,cuda,1
240,240,2,2,120,4647,cuda,1
240,240,4,4,43,4633,cuda,1
240,240,8,8,28,4531,cuda,1
240,240,12,12,31,4601,cuda,1
240,240,16,16,28,4531,cuda,1
240,240,20,20,30,4875,cuda,1
240,240,22,22,30,4520,cuda,1
240,240,,,45,48,sequential,1
480,480,1,1,1627,6152,cuda,1
480,480,2,2,427,4939,cuda,1
480,480,4,4,121,4741,cuda,1
480,480,8,8,59,4569,cuda,1
480,480,12,12,70,4636,cuda,1
480,480,16,16,61,4571,cuda,1
480,480,20,20,65,4704,cuda,1
480,480,22,22,66,4590,cuda,1
480,480,,,175,184,sequential,1
800,800,1,1,4486,9060,cuda,1
800,800,2,2,1150,5709,cuda,1
800,800,4,4,302,4871,cuda,1
800,800,8,8,130,4652,cuda,1
800,800,12,12,161,4763,cuda,1
800,800,16,16,133,4653,cuda,1
800,800,20,20,144,4659,cuda,1
800,800,22,22,147,4663,cuda,1
800,800,,,485,501,sequential,1
960,960,1,1,6453,10980,cuda,1
960,960,2,2,1645,6362,cuda,1
960,960,4,4,426,4971,cuda,1
960,960,8,8,179,4743,cuda,1
960,960,12,12,221,4822,cuda,1
960,960,16,16,181,4712,cuda,1
960,960,20,20,198,4768,cuda,1
960,960,22,22,201,4802,cuda,1
960,960,,,698,746,sequential,1
1120,1120,1,1,8805,13352,cuda,1
1120,1120,2,2,2238,6798,cuda,1
1120,1120,4,4,572,5310,cuda,1
1120,1120,8,8,235,4826,cuda,1
1120,1120,12,12,297,4910,cuda,1
1120,1120,16,16,238,4783,cuda,1
1120,1120,20,20,260,4871,cuda,1
1120,1120,22,22,262,4873,cuda,1
1120,1120,,,959,990,sequential,1
1280,1280,1,1,11511,16195,cuda,1
1280,1280,2,2,2916,7474,cuda,1
1280,1280,4,4,741,5318,cuda,1
1280,1280,8,8,301,4886,cuda,1
1280,1280,12,12,378,4961,cuda,1
1280,1280,16,16,303,4937,cuda,1
1280,1280,20,20,332,4901,cuda,1
1280,1280,22,22,340,4894,cuda,1
1280,1280,,,1241,1282,sequential,1
1440,1440,1,1,14537,19124,cuda,1
1440,1440,2,2,3681,8300,cuda,1
1440,1440,4,4,931,5546,cuda,1
1440,1440,8,8,375,4974,cuda,1
1440,1440,12,12,468,5064,cuda,1
1440,1440,16,16,377,4947,cuda,1
1440,1440,20,20,413,4970,cuda,1
1440,1440,22,22,417,4973,cuda,1
1440,1440,,,1578,1627,sequential,1
2400,2400,1,1,40260,44955,cuda,1
2400,2400,2,2,10134,14898,cuda,1
2400,2400,4,4,2531,7227,cuda,1
2400,2400,8,8,1000,5701,cuda,1
2400,2400,12,12,1252,5934,cuda,1
2400,2400,16,16,995,5677,cuda,1
2400,2400,20,20,1089,5825,cuda,1
2400,2400,22,22,1101,5791,cuda,1
2400,2400,,,4396,4530,sequential,1
4800,4800,1,1,161264,166552,cuda,1
4800,4800,2,2,40474,45741,cuda,1
4800,4800,4,4,10017,15433,cuda,1
4800,4800,8,8,3891,9186,cuda,1
4800,4800,12,12,4895,10337,cuda,1
4800,4800,16,16,3849,9171,cuda,1
4800,4800,20,20,4221,9554,cuda,1
4800,4800,22,22,4229,9543,cuda,1
4800,4800,,,17405,17932,sequential,1
8000,8000,1,1,447877,454468,cuda,1
8000,8000,2,2,112451,119065,cuda,1
8000,8000,4,4,27763,34371,cuda,1
8000,8000,8,8,10714,17312,cuda,1
8000,8000,12,12,13494,20262,cuda,1
8000,8000,16,16,10556,17190,cuda,1
8000,8000,20,20,11564,18494,cuda,1
8000,8000,22,22,11538,18145,cuda,1
8000,8000,,,48913,50675,sequential,1
9600,9600,1,1,643222,650912,cuda,1
9600,9600,2,2,161676,169236,cuda,1
9600,9600,4,4,39898,47469,cuda,1
9600,9600,8,8,15344,22865,cuda,1
9600,9600,12,12,19318,26900,cuda,1
9600,9600,16,16,15123,22691,cuda,1
9600,9600,20,20,16628,24330,cuda,1
9600,9600,22,22,16573,24196,cuda,1
9600,9600,,,69548,71656,sequential,1
11200,11200,1,1,878072,886691,cuda,1
11200,11200,2,2,220471,229115,cuda,1
11200,11200,4,4,54378,62990,cuda,1
11200,11200,8,8,20887,29507,cuda,1
11200,11200,12,12,26219,34848,cuda,1
11200,11200,16,16,20551,29174,cuda,1
11200,11200,20,20,22566,31187,cuda,1
11200,11200,22,22,22489,31115,cuda,1
11200,11200,,,95393,98252,sequential,1
12800,12800,1,1,1142245,1152431,cuda,1
12800,12800,2,2,286799,296716,cuda,1
12800,12800,4,4,70732,80885,cuda,1
12800,12800,8,8,27217,37119,cuda,1
12800,12800,12,12,34164,44041,cuda,1
12800,12800,16,16,26785,36652,cuda,1
12800,12800,20,20,29435,39488,cuda,1
12800,12800,22,22,29274,39169,cuda,1
12800,12800,,,124211,127942,sequential,1
14400,14400,1,1,1451325,1462934,cuda,1
14400,14400,2,2,363657,375025,cuda,1
14400,14400,4,4,89698,101069,cuda,1
14400,14400,8,8,34516,45844,cuda,1
14400,14400,12,12,43336,54695,cuda,1
14400,14400,16,16,33926,45235,cuda,1
14400,14400,20,20,37211,48582,cuda,1
14400,14400,22,22,37082,48391,cuda,1
14400,14400,,,157321,162061,sequential,1
16000,16000,1,1,1788725,1801859,cuda,1
16000,16000,2,2,448430,461519,cuda,1
16000,16000,4,4,110507,123393,cuda,1
16000,16000,8,8,42534,55434,cuda,1
16000,16000,12,12,53461,66363,cuda,1
16000,16000,16,16,41851,54815,cuda,1
16000,16000,20,20,45872,58801,cuda,1
16000,16000,22,22,45707,58597,cuda,1
16000,16000,,,192174,198003,sequential,1
