xres,yres,xthreads,ythreads,render_time,real_time,application_type,run
64,64,1,1,44,4609,cuda,2
64,64,2,2,24,4534,cuda,2
64,64,4,4,19,4638,cuda,2
64,64,8,8,18,4518,cuda,2
64,64,12,12,18,4572,cuda,2
64,64,16,16,18,4527,cuda,2
64,64,20,20,19,4535,cuda,2
64,64,22,22,19,4526,cuda,2
64,64,,,3,6,sequential,2
160,160,1,1,195,4710,cuda,2
160,160,2,2,62,4582,cuda,2
160,160,4,4,29,4592,cuda,2
160,160,8,8,22,4581,cuda,2
160,160,12,12,24,4554,cuda,2
160,160,16,16,22,4589,cuda,2
160,160,20,20,23,4579,cuda,2
160,160,22,22,24,4798,cuda,2
160,160,,,19,22,sequential,2
240,240,1,1,419,4947,cuda,2
240,240,2,2,119,4589,cuda,2
240,240,4,4,43,4554,cuda,2
240,240,8,8,27,4543,cuda,2
240,240,12,12,31,4551,cuda,2
240,240,16,16,28,4562,cuda,2
240,240,20,20,30,4566,cuda,2
240,240,22,22,30,4535,cuda,2
240,240,,,44,48,sequential,2
480,480,1,1,1627,6051,cuda,2
480,480,2,2,427,4941,cuda,2
480,480,4,4,120,4695,cuda,2
480,480,8,8,59,4590,cuda,2
480,480,12,12,70,4613,cuda,2
480,480,16,16,60,4602,cuda,2
480,480,20,20,65,4670,cuda,2
480,480,22,22,66,4498,cuda,2
480,480,,,177,184,sequential,2
800,800,1,1,4484,9124,cuda,2
800,800,2,2,1148,5844,cuda,2
800,800,4,4,301,4844,cuda,2
800,800,8,8,130,4729,cuda,2
800,800,12,12,162,4702,cuda,2
800,800,16,16,133,4725,cuda,2
800,800,20,20,144,4699,cuda,2
800,800,22,22,148,4756,cuda,2
800,800,,,486,504,sequential,2
960,960,1,1,6451,11009,cuda,2
960,960,2,2,1645,6196,cuda,2
960,960,4,4,431,4958,cuda,2
960,960,8,8,179,4736,cuda,2
960,960,12,12,221,4946,cuda,2
960,960,16,16,181,4745,cuda,2
960,960,20,20,198,4785,cuda,2
960,960,22,22,199,4735,cuda,2
960,960,,,695,719,sequential,2
1120,1120,1,1,8800,13488,cuda,2
1120,1120,2,2,2237,6788,cuda,2
1120,1120,4,4,572,5163,cuda,2
1120,1120,8,8,236,4790,cuda,2
1120,1120,12,12,297,4846,cuda,2
1120,1120,16,16,238,4810,cuda,2
1120,1120,20,20,260,4858,cuda,2
1120,1120,22,22,262,4808,cuda,2
1120,1120,,,964,994,sequential,2
1280,1280,1,1,11495,15959,cuda,2
1280,1280,2,2,2915,7610,cuda,2
1280,1280,4,4,741,5324,cuda,2
1280,1280,8,8,301,4914,cuda,2
1280,1280,12,12,379,5000,cuda,2
1280,1280,16,16,303,4985,cuda,2
1280,1280,20,20,333,4893,cuda,2
1280,1280,22,22,341,5023,cuda,2
1280,1280,,,1237,1277,sequential,2
1440,1440,1,1,14535,19124,cuda,2
1440,1440,2,2,3681,8334,cuda,2
1440,1440,4,4,930,5598,cuda,2
1440,1440,8,8,375,4914,cuda,2
1440,1440,12,12,468,5048,cuda,2
1440,1440,16,16,377,4927,cuda,2
1440,1440,20,20,413,4991,cuda,2
1440,1440,22,22,415,4967,cuda,2
1440,1440,,,1571,1620,sequential,2
2400,2400,1,1,40195,44899,cuda,2
2400,2400,2,2,10130,14752,cuda,2
2400,2400,4,4,2529,7241,cuda,2
