xres,yres,xthreads,ythreads,render_time,real_time,application_type,run,render_speedup,real_speedup
8000,8000,20,20,11564,18494,cuda,1,4.229764787,2.740077863
8000,8000,22,22,11538,18145,cuda,1,4.239296239,2.79278038
8000,8000,,,48913,50675,sequential,1,1,1
9600,9600,1,1,643222,650912,cuda,1,0.108124411,0.110085542
9600,9600,2,2,161676,169236,cuda,1,0.43016898,0.423408731
9600,9600,4,4,39898,47469,cuda,1,1.74314502,1.509532537
9600,9600,8,8,15344,22865,cuda,1,4.532586027,3.133872731
9600,9600,12,12,19318,26900,cuda,1,3.600165649,2.663791822
9600,9600,16,16,15123,22691,cuda,1,4.598822985,3.157904015
9600,9600,20,20,16628,24330,cuda,1,4.182583594,2.945170571
9600,9600,22,22,16573,24196,cuda,1,4.196464128,2.961481237
9600,9600,,,69548,71656,sequential,1,1,1
11200,11200,1,1,878072,886691,cuda,1,0.108639155,0.110807485
11200,11200,2,2,220471,229115,cuda,1,0.432678221,0.428832682
11200,11200,4,4,54378,62990,cuda,1,1.754257236,1.559803143
11200,11200,8,8,20887,29507,cuda,1,4.567099153,3.329786152
11200,11200,12,12,26219,34848,cuda,1,3.638315725,2.819444444
11200,11200,16,16,20551,29174,cuda,1,4.641769257,3.367793241
11200,11200,20,20,22566,31187,cuda,1,4.227288842,3.150415237
11200,11200,22,22,22489,31115,cuda,1,4.24176264,3.157705287
11200,11200,,,95393,98252,sequential,1,1,1
12800,12800,1,1,1142245,1152431,cuda,1,0.10874287,0.111019228
12800,12800,2,2,286799,296716,cuda,1,0.433094258,0.431193464
12800,12800,4,4,70732,80885,cuda,1,1.756079285,1.581776596
12800,12800,8,8,27217,37119,cuda,1,4.563728552,3.446806218
12800,12800,12,12,34164,44041,cuda,1,3.635727667,2.905065734
12800,12800,16,16,26785,36652,cuda,1,4.637334329,3.490723562
12800,12800,20,20,29435,39488,cuda,1,4.219840326,3.240022285
12800,12800,22,22,29274,39169,cuda,1,4.243048439,3.266409661
12800,12800,,,124211,127942,sequential,1,1,1
14400,14400,1,1,1451325,1462934,cuda,1,0.108398188,0.110778067
14400,14400,2,2,363657,375025,cuda,1,0.432608199,0.432133858
14400,14400,4,4,89698,101069,cuda,1,1.753896408,1.603468917
14400,14400,8,8,34516,45844,cuda,1,4.55791517,3.53505366
14400,14400,12,12,43336,54695,cuda,1,3.630261215,2.962994789
14400,14400,16,16,33926,45235,cuda,1,4.637180923,3.582646181
14400,14400,20,20,37211,48582,cuda,1,4.227808981,3.335823968
